node_ID	Position	Time
9	500:511:0	51
10	492:488:0	51
10	491:489:0	51
11	487:490:0	51
11	485:490:0	51
11	487:488:0	51
11	486:488:0	51
11	486:489:0	51
12	511:510:0	51
12	513:509:0	51
12	512:511:0	51
12	516:509:0	51
12	514:511:0	51
12	518:511:0	51
13	506:488:0	51
13	504:488:0	51
13	506:487:0	51
13	502:488:0	51
14	489:600:0	51
14	489:600:0	51
14	488:600:0	51
14	488:600:0	51
5	500:488:0	51
5	497:488:0	51
5	498:488:0	51
9	502:511:0	51
9	505:511:0	51
10	493:489:0	51
12	516:511:0	51
19	510:425:0	51
5	502:488:0	51
10	496:488:0	51
19	511:425:0	51
11	484:488:0	51
12	507:511:0	51
12	517:510:0	51
13	505:489:0	51
14	488:598:0	51
7	500:488:0	51
14	489:592:0	51
7	506:487:0	51
5	496:488:0	51
10	489:489:0	51
14	488:600:0	51
5	494:489:0	52
7	501:488:0	52
7	503:488:0	52
7	501:488:0	52
7	499:488:0	52
8	507:488:0	52
8	509:488:0	52
8	508:486:0	52
8	505:488:0	52
8	507:488:0	52
9	499:511:0	52
9	502:511:0	52
9	502:511:0	52
10	492:488:0	52
10	494:488:0	52
10	490:489:0	52
11	486:490:0	52
12	512:509:0	52
12	515:509:0	52
12	517:509:0	52
12	513:510:0	52
13	507:488:0	52
13	505:488:0	52
13	505:488:0	52
14	489:593:0	52
14	488:597:0	52
14	488:599:0	52
5	501:488:0	52
5	498:488:0	52
5	494:488:0	52
7	494:489:0	52
9	509:511:0	52
10	492:489:0	52
